,Title1,Title2,Support,Confident,Lift
400,TV Show,1 Season,0.00737,0.25793,3.26423
401,TV Show,1 Season,0.01441,0.50396,4.17194
402,TV Show,1 Season,0.00703,0.96875,3.37396
403,TV Show,1 Season,0.00635,0.93333,3.25061
404,TV Show,1 Season,0.00681,0.20618,5.76534
405,TV Show,1 Season,0.01714,0.51890,4.29555
406,TV Show,1 Season,0.01112,0.33676,4.04675
407,1 Season,United States,0.00647,0.33333,3.02057
408,TV Show,1 Season,0.00579,0.25123,3.17937
409,TV Show,1 Season,0.01123,0.48768,4.03714
410,TV Show,1 Season,0.00488,0.97727,3.40364
411,TV Show,1 Season,0.00488,0.48863,41.3837
412,TV Show,1 Season,0.00601,0.48181,5.99414
413,TV Show,1 Season,0.00488,0.50588,11.5435
414,TV Show,1 Season,0.00624,0.84615,57.3301
415,TV Show,1 Season,0.00510,0.47872,8.21948
416,TV Show,1 Season,0.00567,0.55555,9.53866
417,TV Show,1 Season,0.00601,0.43801,7.52056
418,TV Show,1 Season,0.00499,0.39999,5.06206
419,TV Show,1 Season,0.00703,0.28181,28.8634
420,TV Show,1 Season,0.00522,0.20909,20.2381
421,TV Show,1 Season,0.00533,0.49473,11.2892
422,TV Show,1 Season,0.00772,0.34170,5.86699
423,TV Show,1 Season,0.00510,0.28481,3.54323
424,TV Show,1 Season,0.00999,0.97777,3.40540
425,TV Show,1 Season,0.01998,0.43781,3.62428
426,TV Show,1 Season,0.00692,0.25523,3.06693
427,TV Show,United States,0.00647,0.29842,3.58603
428,TV Show,United States,0.00635,0.50909,3.23759
429,TV Show,United States,0.00806,0.33177,3.00646
430,TV Show,United States,0.00885,0.49056,3.11978
431,Documentaries,Movie,0.00533,0.40869,15.0618
432,TV Show,Kids' TV,0.00465,0.35042,4.21086
433,TV Show,1 Season,0.00647,0.33333,4.00545
